"Data Source","World Development Indicators",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","11.04.2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Belarus","BLR","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5450237","20.98803828","23.57232133","18.2883419","14.9995037","17.46044053","17.02530861","15.37783815","13.8722429","14.64210214","14.15322736","11.87493737","11.7752761","10.20404206","10.32874371","9.906985723","9.904019808","9.674873964","10.13811012","9.740167398","10.56938649","9.436940363","9.804845148","8.089765837","8.866813522",""
"Belize","BLZ","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","31.36165145","30.76923077","27.43830787","26.13168724","22.51192369","21.48214821","20.83445491","20.37259615","20.95213849","22.74624374","22.28496142","20.38819876","19.98050682","18.28921726","18.27473889","17.33915979","17.41958764","18.3433822","18.34409972","17.96645389","17.30450651","17.84180247","17.36807251","15.78809589","15.33867174","16.80640403","16.59989051","15.38738183","14.74996057","13.39384707","12.65130154","12.7904638","13.22475634","13.13107301","15.00416755","15.33652168","",""
"Bermuda","BMU","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84450145","0.842514291","0.736600783","0.738588207","0.70624074","0.728889703","0.835399002","0.862432201","0.88688856","0.841630847","0.895565609","0.799296109","0.821071628","0.769959628","0.774351453","0.815180507","0.77362359","","",""
"Bolivia","BOL","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","20.78299974","20.93701872","20.18941295","21.03499628","22.00073919","21.79392464","21.2915903","20.84693159","19.12915515","18.58726299","19.01624314","19.27080099","17.62611102","20.68747219","22.75380441","20.56370083","18.32860211","17.71655153","17.16372413","16.66770186","16.74085274","17.08879728","16.0268512","16.32908927","17.11495444","16.88361355","16.37743045","17.24065452","14.66998845","15.10590424","15.00764887","15.21536297","14.89878572","15.41800023","15.3746559","14.37801317","13.87611045","12.87739494","13.46940499","13.82934375","12.85313726","12.51438825","12.91594109","13.2834705","12.98669625",""
"Brazil","BRA","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","20.59281427","19.49661001","17.35049021","16.79391435","17.28611786","18.70991783","15.69293862","15.10875991","14.0502916","13.21590683","12.34526314","12.85925947","12.99468155","13.35748722","12.92023444","12.09889632","13.00439895","14.67498588","11.61129227","11.01609103","11.01366772","10.73569424","8.967900584","10.93790659","11.46086133","11.54090033","11.15718936","10.0097597","10.11553876","8.518876828","8.1","7.789980585","7.719997556","7.559999723","9.850263575","5.771250392","5.454190235","5.330788546","5.398648212","5.365010542","5.5232778","5.637964981","6.417422576","7.20396922","6.673477811","5.478460422","5.13807221","5.180019383","5.408461601","5.23598111","4.842255501","5.111281406","4.912478839","5.294368567","5.222681319",""
"Barbados","BRB","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei Darussalam","BRN","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","1.33781821","1.335547213","1.10918347","1.017318066","1.08715347","0.902068196","0.634854457","0.693804542","0.843789381","0.984748704","1.065873459","1.212543374","1.927720227","1.930734886","2.216148334","0.961563596","0.966141671","1.022053167","0.965209098","1.077333434","1.198708954","1.161527571","1.122112852","1.227343527","1.410283186","1.234980121","1.024413492","1.134567236","1.093569608","1.222196519","1.127453453","0.946593335","0.706141843","0.689655172","0.635849769","0.908956973","0.759829576","0.628206532","0.715125253","0.725777246","",""
"Bhutan","BTN","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","43.63844989","41.39601602","42.17817588","42.31561939","42.68184695","43.48254909","42.10864199","36.62268579","38.31603641","35.75144166","35.27825443","33.82891002","34.35496639","32.22705064","34.86805961","32.01103676","31.16388685","31.20219953","29.5318159","27.27185573","27.38942128","26.13075667","26.34049001","25.18818182","24.9232769","23.18325097","22.13542151","19.23212392","18.96873295","18.74897932","17.49161459","17.11552217","16.97730249","16.98987816","17.73865345",""
"Botswana","BWA","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","43.36448944","41.87051948","40.45692825","39.38077567","38.43049687","33.84146341","39.29539295","","","","","","","","","29.87817469","26.82803833","24.8986095","20.59629883","16.4904502","14.68629513","14.27195686","11.67228444","9.011781255","7.653078805","6.386170078","5.687681145","6.699287967","5.960822937","4.966687372","4.853313466","4.817534557","5.20492917","5.009205067","4.079054837","4.909827728","3.947752675","3.811251203","3.42497222","3.254359168","3.049821512","2.807892931","2.592103833","2.972992797","2.537845529","2.032283082","2.30420936","2.54014838","2.888050841","3.289911162","2.859529978","2.798516292","3.019340479","2.609432908","2.441669948",""
"Central African Republic","CAF","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","46.26439655","42.14876033","39.52254642","39.07769417","37.84402802","35.47010684","37.24695086","38.49128404","39.1634981","39.49329359","37.74842937","40.11859885","40.24076358","39.73663519","39.07563299","39.99999621","39.67361176","41.67380645","40.3707406","42.02692308","47.59643535","50.17658575","47.30539046","48.94085781","47.70393747","49.27621013","45.97148974","46.86938872","46.40304907","45.04485648","46.51164756","51.72400489","54.77925218","55.67640829","51.73117818","52.10210734","53.41252682","53.62457241","56.92451832","55.7058935","54.94295404","55.1812314","54.28410519","55.71650013","54.63428071","54.20116411","54.49983446","53.93947768","58.2012949","58.20129491",""
