"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Bermuda","BMU","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.48287710085736","3.22632682690757","0","3.19718647590121","0","4.68675903937346","1.55093539733696","3.08827843918408","1.53052634801108","3.03444090426339","4.51562405924499","4.48289774510243","7.41982875035244","8.84499152354979","10.25415659562","11.6483932497561","7.23798494499131","","","",
"Bolivia","BOL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.99113141841184","6.28323191377472","8.13314296060459","8.64339566272372","8.35550962304544","10.3577958807282","9.95689872388361","12.0949749483761","","","",
"Brazil","BRA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4872159228471","23.9276532892894","23.0077977508423","22.1668797003254","23.3241029318799","26.520831725888","26.5425401365802","","",
"Barbados","BRB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.52046506555965","8.62204694892","7.48531007897002","9.3180666129946","9.27561181935561","12.1841355171242","8.08214397237376","10.600655047374","12.730837361734","9.77280048646829","9.00466081243652","6.80988939305965","11.0557925220046","9.58703631265927","7.77482113252928","8.44181329893849","","",
"Brunei Darussalam","BRN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.848298736883181","0.554328334215639","0.543751614262605","0.800646922713553","0.786493288590604","0.257720666877998","0.760649087221095","0.249644880157975","","","0.473511059539539","","",
"Bhutan","BTN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.02265664392141","1.41936179816107","1.9527463284882","2.98002171278299","3.84783447856065","2.47044666124807","","",
"Botswana","BWA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9438203066253","14.0963727545307","17.0249732347777","13.9642289292456","15.5133396061957","13.7662293823024","14.6199822784929","14.5315839581656","14.8074898230531","15.3858575025859","","","","","",
"Central African Republic","CAF","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6489154608389","","","",
"Canada","CAN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.83604638194433","1.94373499056291","1.75207959788065","1.68028315892703","1.5863704840566","1.59296748831539","1.7846315662017","1.67179467573992","1.73780201471713","1.72337726796448","1.84168389188857","1.71414637473067","1.63403616695011","1.66317559616155","1.59987589703412","1.44170585449789","1.53802249441024","1.56304757080328","1.43936829356725","","",
"Central Europe and the Baltics","CEB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","","",
